epoch,accuracy,f1-score,iou_score,loss,lr,mean_io_u,val_accuracy,val_f1-score,val_iou_score,val_loss,val_mean_io_u
0,0.9464126229286194,0.3862374722957611,0.3269473910331726,0.6434417366981506,0.001,0.37559568881988525,0.980736255645752,0.35010480880737305,0.3069104254245758,0.6475353837013245,0.3755807876586914
1,0.9861999154090881,0.5280424952507019,0.4398902654647827,0.48433440923690796,0.001,0.3756151497364044,0.9785019159317017,0.43201524019241333,0.3699704110622406,0.5892276763916016,0.37612172961235046
2,0.9879055023193359,0.5756299495697021,0.4800270199775696,0.43414732813835144,0.001,0.3757741153240204,0.9875538349151611,0.5227053165435791,0.4367412328720093,0.4913395345211029,0.37563616037368774
3,0.9893488883972168,0.616477906703949,0.5173705816268921,0.3927980959415436,0.001,0.3763177692890167,0.9822200536727905,0.5669768452644348,0.46950459480285645,0.4455934166908264,0.3763224184513092
4,0.9899348616600037,0.6312555074691772,0.5311079621315002,0.3773854970932007,0.001,0.37920624017715454,0.988744854927063,0.5800528526306152,0.4884420931339264,0.431379497051239,0.3762677013874054
5,0.9909433126449585,0.6542753577232361,0.5527669191360474,0.3534723222255707,0.001,0.3796074688434601,0.987775444984436,0.6275234222412109,0.528306782245636,0.38230055570602417,0.3878336548805237
6,0.9910330772399902,0.6627610921859741,0.5614648461341858,0.3451361358165741,0.001,0.3995188772678375,0.9893595576286316,0.5779997706413269,0.4909094274044037,0.44334593415260315,0.4313849210739136
7,0.9915470480918884,0.6750548481941223,0.5734104514122009,0.3320937156677246,0.001,0.41221654415130615,0.9850303530693054,0.6216810345649719,0.5227609276771545,0.3887997269630432,0.40697920322418213
8,0.9926327466964722,0.7085654139518738,0.60727459192276,0.29807227849960327,0.00020000001,0.42523419857025146,0.9903467893600464,0.6161994934082031,0.5241801142692566,0.39731717109680176,0.4278397262096405
9,0.9929290413856506,0.7177556753158569,0.6164432168006897,0.2887590527534485,0.00020000001,0.42568647861480713,0.9903159737586975,0.6087816953659058,0.5182125568389893,0.4047866463661194,0.4347175359725952
10,0.9932172298431396,0.7282683849334717,0.6273441314697266,0.27815261483192444,4.0000003e-05,0.4243490695953369,0.9907832741737366,0.6457911729812622,0.5481001138687134,0.36475181579589844,0.42578184604644775
11,0.9932901263237,0.7313075661659241,0.6304959058761597,0.2752271294593811,4.0000003e-05,0.42459386587142944,0.9908058643341064,0.6446466445922852,0.5469903945922852,0.36582136154174805,0.4286205470561981
12,0.993375837802887,0.7335034012794495,0.6328833103179932,0.273034006357193,4.0000003e-05,0.4257739186286926,0.9908596873283386,0.6443783044815063,0.5472425818443298,0.36597809195518494,0.4310142993927002
13,0.9934267997741699,0.7358717918395996,0.6352745890617371,0.27070868015289307,8.000001e-06,0.42783287167549133,0.9908315539360046,0.6429803967475891,0.545516312122345,0.36743927001953125,0.4295124113559723
14,0.9934369325637817,0.7363067865371704,0.6358187794685364,0.2701821029186249,8.000001e-06,0.42732715606689453,0.990796685218811,0.6426447033882141,0.5452668070793152,0.36770933866500854,0.4300811290740967
15,0.9934473037719727,0.7369559407234192,0.6364368200302124,0.2696281373500824,1.6000001e-06,0.42738473415374756,0.9908177852630615,0.6410132050514221,0.544097900390625,0.36937543749809265,0.4292609691619873
16,0.9934504628181458,0.7370219230651855,0.6365153789520264,0.269517719745636,1.6000001e-06,0.42734938859939575,0.9908088445663452,0.6416001915931702,0.5445862412452698,0.3687956929206848,0.42889416217803955
17,0.9934543371200562,0.7371616363525391,0.6366941928863525,0.2694091200828552,1e-06,0.4272664189338684,0.9908003807067871,0.6422617435455322,0.545109748840332,0.36809465289115906,0.429202139377594
18,0.9934567213058472,0.7372589707374573,0.6367801427841187,0.2693525552749634,1e-06,0.42735719680786133,0.9908079504966736,0.6418429613113403,0.544648289680481,0.36847126483917236,0.42918509244918823
19,0.9934584498405457,0.7372937202453613,0.6368348002433777,0.26930806040763855,1e-06,0.42729324102401733,0.990817666053772,0.6399387717247009,0.5431076288223267,0.3704635500907898,0.42854994535446167
